model,lead_hours,mae,rmse,bias,n
pred_persist_6h,83,120.07071428571429,148.02315697214405,7.910714285714286,1400
pred_persist_6h,84,120.6554681915654,148.7888799867779,8.057898498927806,1399
pred_persist_6h,85,121.24964234620887,149.44005884437607,8.11516452074392,1398
pred_persist_6h,86,122.08088761632068,150.27706932933353,8.108088761632068,1397
pred_persist_6h,87,122.75859598853869,151.11042424394898,8.055157593123209,1396
pred_persist_6h,88,123.42078853046596,151.96659225398957,7.968458781362007,1395
pred_persist_6h,89,124.11908177905309,152.68661935570057,7.835007173601148,1394
pred_persist_6h,90,124.7954055994257,153.45402514113871,7.764536970567121,1393
pred_persist_6h,91,125.51077586206897,154.21684101201186,7.713362068965517,1392
pred_persist_6h,92,126.24227174694464,154.95408981268127,7.681524083393242,1391
pred_persist_6h,93,127.02086330935252,155.6185961960022,7.502877697841726,1390
pred_persist_6h,94,127.75521958243341,156.13239937280565,7.385169186465083,1389
pred_persist_6h,95,128.38832853025937,156.7359400365323,7.369596541786744,1388
pred_persist_6h,96,129.03893294881038,157.47747232488263,7.405191059841385,1387
pred_persist_24h,1,68.65430463576159,87.75546246276058,2.2198675496688742,1510
pred_persist_24h,2,70.46506986027944,89.73735239670079,2.3293413173652695,1503
pred_persist_24h,3,72.11481975967958,91.56461528175387,2.383177570093458,1498
pred_persist_24h,4,73.77658862876254,93.38511622903496,2.3665551839464882,1495
pred_persist_24h,5,75.3887399463807,95.25641985078069,2.428954423592493,1492
pred_persist_24h,6,76.85013440860214,97.05359967398128,2.476478494623656,1488
pred_persist_24h,7,78.21308159136885,98.74008054688802,2.5057316250842887,1483
pred_persist_24h,8,79.58986486486486,100.29972312753141,2.5425675675675676,1480
pred_persist_24h,9,80.9235453315291,101.78177523485924,2.5324763193504736,1478
pred_persist_24h,10,82.1449864498645,103.10547918223538,2.559620596205962,1476
pred_persist_24h,11,83.30800542740842,104.46337642889671,2.569877883310719,1474
pred_persist_24h,12,84.53021045485404,105.7639746319081,2.556008146639511,1473
pred_persist_24h,13,85.68342391304348,107.02321593934654,2.504076086956522,1472
pred_persist_24h,14,86.79483695652173,108.22949524646388,2.495923913043478,1472
pred_persist_24h,15,87.88247282608695,109.48081837651426,2.4028532608695654,1472
pred_persist_24h,16,89.01834239130434,110.72706541900381,2.300951086956522,1472
pred_persist_24h,17,90.10658520027155,111.992710823806,2.1812627291242364,1473
pred_persist_24h,18,91.23337856173677,113.26698446297202,2.0488466757123476,1474
pred_persist_24h,19,92.43478260869566,114.62735583848098,1.9945652173913044,1472
pred_persist_24h,20,93.51496598639456,115.93594583827299,2.0374149659863945,1470
pred_persist_24h,21,94.53029271613343,117.15817274281666,2.055139550714772,1469
pred_persist_24h,22,95.50578624914908,118.32332738131899,2.0558202859087813,1469
pred_persist_24h,23,96.23757658270932,119.33924335022272,2.1586113002042207,1469
pred_persist_24h,24,96.92302452316076,120.38969138973457,2.3249318801089918,1468
pred_persist_24h,25,97.76518771331058,121.39043150128539,2.4668941979522185,1465
pred_persist_24h,26,98.63474692202462,122.36322105084139,2.6538987688098494,1462
pred_persist_24h,27,99.37671232876713,123.20504681888578,2.8273972602739725,1460
pred_persist_24h,28,99.95336076817559,123.99532050110939,3.0041152263374484,1458
pred_persist_24h,29,100.46428571428571,124.67537517819699,3.2005494505494507,1456
pred_persist_24h,30,101.01237964236589,125.3437199984652,3.3480055020632737,1454
pred_persist_24h,31,101.54820936639119,126.02988407691555,3.4449035812672175,1452
pred_persist_24h,32,101.90764989662301,126.65374146636711,3.5230875258442453,1451
pred_persist_24h,33,102.24068965517242,127.29860361668788,3.577241379310345,1450
pred_persist_24h,34,102.59558316080056,127.86234996394472,3.6031746031746033,1449
pred_persist_24h,35,102.9792817679558,128.37820183809367,3.6671270718232045,1448
pred_persist_24h,36,103.5611610228058,128.9400491777581,3.743607463718037,1447
pred_persist_24h,37,104.12863070539419,129.47442433166714,3.86030428769018,1446
pred_persist_24h,38,104.64844290657439,130.0136138732692,3.982698961937716,1445
pred_persist_24h,39,105.06925207756233,130.46106178726004,4.105263157894737,1444
pred_persist_24h,40,105.57726957726958,131.04511927127726,4.106722106722107,1443
pred_persist_24h,41,106.24271844660194,131.78802906453862,4.0804438280166435,1442
pred_persist_24h,42,106.93962526023594,132.50126156549194,4.087439278278973,1441
pred_persist_24h,43,107.55277777777778,133.22969930829154,4.094444444444444,1440
pred_persist_24h,44,108.03752605976372,133.82382909702744,4.173731758165393,1439
pred_persist_24h,45,108.45201668984701,134.3992712659891,4.300417246175243,1438
pred_persist_24h,46,108.87473903966597,135.00342272523898,4.446068197633959,1437
pred_persist_24h,47,109.35306406685237,135.66585764429502,4.623259052924791,1436
pred_persist_24h,48,109.89547038327527,136.40909469306868,4.7386759581881535,1435
pred_persist_24h,49,110.60599721059972,137.14288479818077,4.804044630404463,1434
pred_persist_24h,50,111.29239357990231,137.91451380957002,4.901605024424285,1433
pred_persist_24h,51,111.83240223463687,138.64509472210977,5.01536312849162,1432
pred_persist_24h,52,112.3487071977638,139.2305775993345,5.174703004891684,1431
pred_persist_24h,53,112.76293706293707,139.80921315820387,5.390909090909091,1430
pred_persist_24h,54,113.1406578026592,140.38578257649567,5.577326801959412,1429
pred_persist_24h,55,113.6967787114846,141.02733062492985,5.762605042016807,1428
pred_persist_24h,56,114.32305536089699,141.70799897207615,5.934828311142256,1427
pred_persist_24h,57,114.98316970546985,142.46992251657676,6.161290322580645,1426
pred_persist_24h,58,115.8119298245614,143.42202722990928,6.349473684210526,1425
pred_persist_24h,59,116.65098314606742,144.40244704811323,6.53441011235955,1424
pred_persist_24h,60,117.46310611384399,145.42241763306632,6.73928320449754,1423
pred_persist_24h,61,118.27004219409282,146.32878225961178,6.987341772151899,1422
pred_persist_24h,62,119.00633356790992,147.11884160037192,7.259676284306826,1421
pred_persist_24h,63,119.61971830985915,147.7732703726209,7.566197183098591,1420
pred_persist_24h,64,120.27977448907681,148.47225047590965,7.831571529245948,1419
pred_persist_24h,65,120.9181946403385,149.21832056831997,7.901269393511988,1418
pred_persist_24h,66,121.4121383203952,149.84337388502604,7.914608327452364,1417
pred_persist_24h,67,121.88064971751412,150.36548458606535,7.9074858757062145,1416
pred_persist_24h,68,122.54840989399294,151.0470453004392,7.902473498233215,1415
pred_persist_24h,69,123.0990099009901,151.75855535374328,7.8500707213578504,1414
pred_persist_24h,70,123.64897381457891,152.50507399353017,7.760792639773531,1413
pred_persist_24h,71,124.28470254957507,153.1867946364552,7.644475920679887,1412
pred_persist_24h,72,124.87030474840539,153.88631937661899,7.603118355776045,1411
pred_persist_24h,73,125.51205673758865,154.59240391273346,7.564539007092199,1410
pred_persist_24h,74,126.14762242725337,155.2576466221052,7.57416607523066,1409
pred_persist_24h,75,126.88068181818181,155.91051301365735,7.482954545454546,1408
pred_persist_24h,76,127.60056858564322,156.45418911198706,7.468372423596304,1407
pred_persist_24h,77,128.23541963015649,157.0842182902101,7.568278805120911,1406
pred_persist_24h,78,128.91103202846975,157.8709099210119,7.745195729537366,1405
pred_persist_24h,79,129.45441595441596,158.52852116509516,8.015669515669515,1404
pred_persist_24h,80,129.85245901639345,158.90788852327364,8.3071988595866,1403
pred_persist_24h,81,130.31811697574892,159.26240470389888,8.579172610556348,1402
pred_persist_24h,82,130.7501784439686,159.69669905415614,8.960028551034975,1401
pred_persist_24h,83,131.31642857142856,160.27297472927688,9.307857142857143,1400
pred_persist_24h,84,131.867762687634,160.8219394597009,9.646175839885633,1399
pred_persist_24h,85,132.3555078683834,161.27201139538624,9.893419170243204,1398
pred_persist_24h,86,132.82748747315676,161.7784392977561,9.974230493915533,1397
pred_persist_24h,87,133.2285100286533,162.29687105825812,9.962034383954155,1396
pred_persist_24h,88,133.61146953405017,162.79542321818673,10.031541218637992,1395
pred_persist_24h,89,133.90243902439025,163.18086804475368,10.107604017216643,1394
pred_persist_24h,90,134.1694185211773,163.42073736613776,10.126346015793253,1393
pred_persist_24h,91,134.1867816091954,163.53911796095844,10.12787356321839,1392
pred_persist_24h,92,134.3450754852624,163.6962038665415,10.161035226455787,1391
pred_persist_24h,93,134.4769784172662,163.86245109145,10.133093525179856,1390
pred_persist_24h,94,134.5939524838013,163.95794602078587,10.125989920806335,1389
pred_persist_24h,95,134.62319884726224,164.03618819475165,10.13328530259366,1388
pred_persist_24h,96,134.67916366258112,164.14335971293957,10.10814708002884,1387
pred_persist_27d,1,91.93973509933775,126.20433604708712,-25.2841059602649,1510
pred_persist_27d,2,91.68995342648037,125.86409255123496,-25.403858948769127,1503
pred_persist_27d,3,91.47463284379172,125.54911432108582,-25.327770360480642,1498
pred_persist_27d,4,91.49230769230769,125.43253059888998,-25.00267558528428,1495
pred_persist_27d,5,91.41219839142092,125.38836452041537,-24.638739946380696,1492
pred_persist_27d,6,91.37970430107526,125.32361067441809,-24.360887096774192,1488
pred_persist_27d,7,91.32231962238706,125.28991329539299,-24.25691166554282,1483
pred_persist_27d,8,91.51351351351352,125.44655371048596,-24.191891891891892,1480
pred_persist_27d,9,92.0426251691475,125.78368946671611,-23.96955345060893,1478
pred_persist_27d,10,92.68563685636856,126.18721841827293,-23.73170731707317,1476
pred_persist_27d,11,93.26255088195387,126.5321165809638,-23.510854816824967,1474
pred_persist_27d,12,93.98167006109979,127.03927313179463,-23.591989137813986,1473
pred_persist_27d,13,94.71399456521739,127.57525752089133,-23.663722826086957,1472
pred_persist_27d,14,95.48709239130434,128.35089841913847,-23.920516304347824,1472
pred_persist_27d,15,96.30570652173913,129.28238388353108,-24.213315217391305,1472
pred_persist_27d,16,97.15353260869566,130.20788666590053,-24.501358695652176,1472
pred_persist_27d,17,98.21181262729124,131.08971964293178,-24.65173116089613,1473
